target_id	ens_gene	ext_gene	biotype	log2FC	qval
ENST00000394422.8	ENSG00000156697	UTP14A	protein_coding	-0.397633697852327	2.99193218074349e-05
ENST00000380527.3	ENSG00000155876	RRAGA	protein_coding	-0.375722945235609	2.99314116202998e-05
MSTRG.27943.6	NA	NA	NA	-0.455431309291676	3.0089913106315e-05
ENST00000237822.8	ENSG00000118961	LDAH	protein_coding	-0.499586487488231	3.03146962506106e-05
ENST00000324170.7	ENSG00000155329	ZCCHC10	protein_coding	-0.963274353542458	3.05264053361201e-05
ENST00000418747.2	ENSG00000234771	SLC25A25-AS1	lncRNA	0.553549171314272	3.06119056699478e-05
MSTRG.10405.1	NA	NA	NA	2.75819517487935	3.06119056699478e-05
ENST00000366675.3	ENSG00000135801	TAF5L	protein_coding	0.589610849101546	3.06880556340586e-05
ENST00000629977.2	ENSG00000185760	KCNQ5	protein_coding	-4.30150573424561	3.07615959050257e-05
ENST00000222673.6	ENSG00000105953	OGDH	protein_coding	-0.573720012160257	3.07615959050257e-05
MSTRG.25053.4	NA	NA	NA	0.831783846054416	3.07615959050257e-05
ENST00000438909.6	ENSG00000092140	G2E3	protein_coding	-1.45043878629274	3.07825633218654e-05
ENST00000591841.1	ENSG00000171903	CYP4F11	protein_coding	2.15371892957193	3.07825633218654e-05
ENST00000225308.12	ENSG00000013306	SLC25A39	protein_coding	-0.435498530332329	3.10398444856717e-05
ENST00000550735.7	ENSG00000089022	MAPKAPK5	protein_coding	0.508359369480786	3.1041411439428e-05
MSTRG.4516.10	NA	NA	NA	1.54975842134755	3.11666816167308e-05
MSTRG.23819.1	NA	NA	NA	0.677011600955303	3.11831090097176e-05
ENST00000227155.9	ENSG00000085117	CD82	protein_coding	0.916969978679397	3.12641882080955e-05
ENST00000577396.5	ENSG00000213246	SUPT4H1	protein_coding	0.483122415667863	3.12856391384898e-05
MSTRG.26402.5	NA	NA	NA	0.790614938402942	3.14011586920073e-05
ENST00000441448.7	ENSG00000197498	RPF2	protein_coding	-0.433223711256126	3.15587286786825e-05
ENST00000486685.3	ENSG00000158457	TSPAN33	protein_coding	0.808825589264235	3.1655286998885e-05
ENST00000251607.11	ENSG00000072756	TRNT1	protein_coding	-0.607756113031179	3.1734887653743e-05
ENST00000393846.6	ENSG00000171557	FGG	protein_coding	2.29916874940937	3.18008935696527e-05
ENST00000366691.4	ENSG00000116574	RHOU	protein_coding	-0.88381113962607	3.19624716755142e-05
ENST00000409276.5	ENSG00000115875	SRSF7	protein_coding	-0.348700961696475	3.22141801376639e-05
ENST00000258526.9	ENSG00000136040	PLXNC1	protein_coding	2.55994944632412	3.22836808055416e-05
ENST00000475863.5	ENSG00000115289	PCGF1	retained_intron	-0.983902990423971	3.23901504849838e-05
MSTRG.29270.1	NA	NA	NA	1.43612735048569	3.2455166625726e-05
MSTRG.19610.2	NA	NA	NA	1.50111228997877	3.26648554811146e-05
ENST00000506113.5	ENSG00000173210	ABLIM3	protein_coding	-4.67561258000913	3.29441728739445e-05
ENST00000533791.5	ENSG00000154760	SLFN13	protein_coding	0.798514574781296	3.30812744243837e-05
MSTRG.4790.3	NA	NA	NA	0.57902791050576	3.32404947360685e-05
ENST00000566866.5	ENSG00000184110	EIF3C	protein_coding	-1.16244212290688	3.34212073171583e-05
ENST00000295770.4	ENSG00000163527	STT3B	protein_coding	0.324716794381596	3.35031631126398e-05
ENST00000433375.2	ENSG00000126603	GLIS2	protein_coding	0.479989877049149	3.35097969133917e-05
ENST00000289361.11	ENSG00000026950	BTN3A1	protein_coding	-0.788885774131999	3.35290274626893e-05
ENST00000538078.1	ENSG00000255836		processed_pseudogene	-0.948352152639104	3.37545916205734e-05
ENST00000674673.1	ENSG00000109099	PMP22	protein_coding	-5.32813772137863	3.37545916205734e-05
MSTRG.15537.4	NA	NA	NA	0.45195734194792	3.38642242360273e-05
ENST00000341772.5	ENSG00000187957	DNER	protein_coding	-1.87049745657112	3.39891169428727e-05
ENST00000290271.7	ENSG00000159167	STC1	protein_coding	-2.07086219258218	3.40042953354995e-05
ENST00000372573.5	ENSG00000198815	FOXJ3	protein_coding	2.16943285838289	3.40051514383525e-05
ENST00000443374.7	ENSG00000226200	SGMS1-AS1	lncRNA	0.954925844573837	3.41996742477331e-05
ENST00000558197.1	ENSG00000248905	FMN1	protein_coding	2.52046734206662	3.42255334220912e-05
ENST00000679119.1	ENSG00000204463	BAG6	nonsense_mediated_decay	4.76435908203382	3.42255334220912e-05
ENST00000340067.4	ENSG00000188997	KCTD21	protein_coding	-0.612323971517847	3.42255334220912e-05
ENST00000582965.3	ENSG00000266402	SNHG25	lncRNA	-1.08867141943466	3.42803078179817e-05
MSTRG.27419.6	NA	NA	NA	0.595875831719228	3.43319844773063e-05
ENST00000559230.5	ENSG00000140263	SORD	nonsense_mediated_decay	-0.858241939874142	3.43569756993549e-05
ENST00000424674.1	ENSG00000115524	SF3B1	protein_coding	-0.493700774274545	3.44461405611919e-05
ENST00000369797.8	ENSG00000148843	PDCD11	protein_coding	-0.36965711958454	3.44843923053718e-05
MSTRG.11312.1	NA	NA	NA	2.4132981487606	3.45515892793149e-05
ENST00000584746.5	ENSG00000180891	CUEDC1	retained_intron	0.421716166419348	3.46451149192859e-05
ENST00000305988.6	ENSG00000169252	ADRB2	protein_coding	-1.83229561118352	3.46451149192859e-05
ENST00000642451.1	ENSG00000222041	CYTOR	lncRNA	-0.641166577365149	3.46566145436914e-05
ENST00000551436.1	ENSG00000170477	KRT4	retained_intron	3.77561151220491	3.46832425321839e-05
ENST00000422447.8	ENSG00000134333	LDHA	protein_coding	-0.429543733941363	3.47547222580471e-05
ENST00000295887.6	ENSG00000163624	CDS1	protein_coding	1.05254767376007	3.48986070921646e-05
MSTRG.20094.3	NA	NA	NA	-0.727087763456922	3.49251282588598e-05
ENST00000479257.5	ENSG00000128595	CALU	protein_coding	-0.617014806781046	3.49595525328251e-05
ENST00000514332.5	ENSG00000169045	HNRNPH1	retained_intron	0.674430179124162	3.49595525328251e-05
ENST00000612048.4	ENSG00000110811	P3H3	retained_intron	-0.965629272397776	3.52320668425216e-05
MSTRG.7267.1	NA	NA	NA	0.76408282871782	3.54374628063102e-05
ENST00000330333.11	ENSG00000182240	BACE2	protein_coding	-1.26298833880053	3.56739067689448e-05
ENST00000536435.7	ENSG00000090612	ZNF268	protein_coding	0.686526080611158	3.59778818848455e-05
ENST00000381962.4	ENSG00000271303	SRXN1	protein_coding	0.360397810518223	3.63410859884817e-05
ENST00000494131.6	ENSG00000166347	CYB5A	protein_coding	-0.929779739909775	3.63410859884817e-05
ENST00000037869.8	ENSG00000035141	FAM136A	protein_coding	-0.338179892568531	3.63410859884817e-05
ENST00000667384.2	ENSG00000070831	CDC42	protein_coding	0.825146108247816	3.67853686573503e-05
ENST00000442263.4	ENSG00000102786	INTS6	protein_coding	0.796642154187281	3.6819927711594e-05
ENST00000429630.3	ENSG00000232533	FAM131B-AS2	lncRNA	-1.64144662803435	3.70165157570919e-05
ENST00000591058.5	ENSG00000186529	CYP4F3	protein_coding	2.15014584267052	3.70540937448582e-05
MSTRG.13061.14	NA	NA	NA	-1.18074276883482	3.7409984799828e-05
ENST00000573578.1	ENSG00000006194	ZNF263	protein_coding	0.88360932743961	3.76363232675548e-05
ENST00000675319.1	ENSG00000124920	MYRF	protein_coding	1.37752856317587	3.8225289933633e-05
ENST00000392055.8	ENSG00000153823	PID1	protein_coding	-4.76111283509481	3.83965446209783e-05
ENST00000372663.9	ENSG00000160446	ZDHHC12	protein_coding	0.408009778384471	3.85065943484907e-05
ENST00000549206.5	ENSG00000120833	SOCS2	protein_coding	-1.1026773417629	3.85877219323588e-05
ENST00000642928.2	ENSG00000085063	CD59	protein_coding	-0.435637674241855	3.85877219323588e-05
ENST00000292430.10	ENSG00000160886	LY6K	protein_coding	-3.68581821391619	3.87795759619657e-05
ENST00000592638.1	ENSG00000267414	SETBP1-DT	lncRNA	2.77377204863303	3.89745294599803e-05
ENST00000552783.5	ENSG00000050405	LIMA1	protein_coding	-0.870167806441583	3.9028833075595e-05
ENST00000547708.5	ENSG00000135486	HNRNPA1	protein_coding	0.386375929144277	3.91125379354161e-05
ENST00000446342.5	ENSG00000122861	PLAU	protein_coding	-1.72664386746943	3.9239110852348e-05
ENST00000453092.3	ENSG00000233369	GTF2IP4	transcribed_processed_pseudogene	0.690612007526843	3.92851540743456e-05
ENST00000392952.7	ENSG00000099204	ABLIM1	protein_coding	0.518568285813425	3.93533493707539e-05
ENST00000579248.5	ENSG00000265681	RPL17	protein_coding	-0.429151193278691	3.96896325964294e-05
ENST00000582556.5	ENSG00000161970	RPL26	protein_coding	-0.648070723984046	3.98515600730252e-05
ENST00000397752.8	ENSG00000105976	MET	protein_coding	-0.506713304301313	3.98515600730252e-05
ENST00000588867.1	ENSG00000141458	NPC1	retained_intron	-1.511725360572	4.04636593723285e-05
ENST00000304129.9	ENSG00000169129	AFAP1L2	protein_coding	-0.858502310589775	4.07220674353288e-05
ENST00000620651.4	ENSG00000196588	MRTFA	protein_coding	5.55291965072326	4.0913107030701e-05
ENST00000267169.11	ENSG00000184047	DIABLO	protein_coding	1.24474563128797	4.10283303439724e-05
ENST00000572856.1	ENSG00000262001	DLGAP1-AS2	lncRNA	0.746051777453276	4.10921096787683e-05
ENST00000444124.7	ENSG00000132437	DDC	protein_coding	2.04198515348657	4.11356223071905e-05
ENST00000412272.6	ENSG00000148634	HERC4	protein_coding	-4.4678418237185	4.11430592958998e-05
ENST00000452156.5	ENSG00000076685	NT5C2	protein_coding_CDS_not_defined	0.573913432224223	4.12910692892592e-05
ENST00000657915.1	ENSG00000167460	TPM4	protein_coding_CDS_not_defined	1.4141882906977	4.12910692892592e-05
ENST00000569930.2	ENSG00000103197	TSC2	retained_intron	0.919153784760842	4.13320265761056e-05
ENST00000330106.5	ENSG00000184524	CEND1	protein_coding	-3.27331921165209	4.14694566425018e-05
ENST00000436587.7	ENSG00000106392	C1GALT1	protein_coding	0.442364197991053	4.14786399692448e-05
ENST00000662925.1	ENSG00000245750	DRAIC	lncRNA	3.70541557692181	4.16835497561168e-05
ENST00000219439.9	ENSG00000103160	HSDL1	protein_coding	-0.451399255220725	4.17682556793648e-05
ENST00000540941.1	ENSG00000175768	TOMM5	nonsense_mediated_decay	0.760650902716692	4.18631401492476e-05
MSTRG.19256.1	NA	NA	NA	0.695317947898753	4.18631401492476e-05
ENST00000338415.8	ENSG00000115828	QPCT	protein_coding	0.400609653429004	4.195504198831e-05
ENST00000606080.2	ENSG00000111816	FRK	protein_coding	0.815590914726629	4.19747603635937e-05
ENST00000487931.1	ENSG00000162616	DNAJB4	protein_coding_CDS_not_defined	-0.752680902763919	4.2169885323325e-05
ENST00000660521.1	ENSG00000245750	DRAIC	lncRNA	4.29743213483977	4.22889121624762e-05
ENST00000432529.6	ENSG00000144451	SPAG16	protein_coding	-0.566624515775931	4.24296307929201e-05
ENST00000247191.7	ENSG00000126787	DLGAP5	protein_coding	-0.343025530272331	4.26474416356523e-05
ENST00000527309.2	ENSG00000023445	BIRC3	protein_coding	-0.919593181671371	4.27022776044687e-05
ENST00000540447.5	ENSG00000060138	YBX3	retained_intron	0.501812619557213	4.28170827570065e-05
ENST00000233331.12	ENSG00000115274	INO80B	protein_coding	-0.809798677580696	4.28313200134861e-05
ENST00000440053.1	ENSG00000127831	VIL1	protein_coding	2.84657193838975	4.28313200134861e-05
ENST00000367009.2	ENSG00000054392	HHAT	protein_coding	-4.9708314892467	4.29494311585271e-05
ENST00000341181.11	ENSG00000080822	CLDND1	protein_coding	-0.46720297851803	4.29654402639596e-05
ENST00000632675.1	ENSG00000273594	EEF1D	protein_coding	-0.720336472424516	4.30115011567672e-05
ENST00000340368.9	ENSG00000186480	INSIG1	protein_coding	-0.596581332131961	4.30115011567672e-05
ENST00000528610.5	ENSG00000104529	EEF1D	protein_coding	-0.720336472424516	4.30115011567672e-05
ENST00000478021.1	ENSG00000076604	TRAF4	nonsense_mediated_decay	0.755519669834781	4.30115011567672e-05
MSTRG.18935.28	NA	NA	NA	-1.45139690838434	4.30115011567672e-05
ENST00000524717.6	ENSG00000184384	MAML2	protein_coding	-0.626128046898003	4.31377125740273e-05
ENST00000631758.1	ENSG00000274726	ARHGEF10	protein_coding	-0.543423652308051	4.31625657049724e-05
ENST00000520359.5	ENSG00000104728	ARHGEF10	protein_coding	-0.543423652308051	4.31625657049724e-05
ENST00000248041.12	ENSG00000171903	CYP4F11	protein_coding	1.69267022998952	4.34126047259979e-05
ENST00000648523.1	ENSG00000023839	ABCC2	nonsense_mediated_decay	1.00506972727613	4.34529073122488e-05
ENST00000312397.10	ENSG00000175467	SART1	protein_coding	-0.353983273994384	4.40382061729523e-05
ENST00000373218.5	ENSG00000148730	EIF4EBP2	protein_coding	0.339460006547534	4.40875329435663e-05
MSTRG.29125.3	NA	NA	NA	-1.19246485336508	4.41062779798588e-05
MSTRG.4850.6	NA	NA	NA	-1.57327179264747	4.42369195002322e-05
ENST00000263674.4	ENSG00000110237	ARHGEF17	protein_coding	-0.465682031465132	4.43491911272384e-05
ENST00000532145.1	ENSG00000154237	LRRK1	protein_coding_CDS_not_defined	-0.551196926929483	4.45460989695555e-05
MSTRG.4516.8	NA	NA	NA	1.70525660389642	4.49306383823952e-05
ENST00000674743.1	ENSG00000142871	CCN1	retained_intron	-0.674336808679319	4.52081716977098e-05
ENST00000545227.6	ENSG00000073350	LLGL2	retained_intron	0.682707099254955	4.53699299824621e-05
ENST00000506799.5	ENSG00000123213	NLN	retained_intron	-0.41484003388934	4.54749119773036e-05
ENST00000432959.1	ENSG00000135956	TMEM127	protein_coding	-0.427462093105621	4.56014020891413e-05
ENST00000327619.10	ENSG00000064655	EYA2	protein_coding	-0.840435220424223	4.576224124578e-05
ENST00000585908.2	ENSG00000154065	ANKRD29	protein_coding	-2.91685915342233	4.58395799311077e-05
ENST00000693319.1	ENSG00000165527	ARF6	protein_coding	-0.937485478116249	4.59946255715375e-05
ENST00000437131.2	ENSG00000144674	GOLGA4	protein_coding	-0.780728861575799	4.59946255715375e-05
ENST00000523714.5	ENSG00000197043	ANXA6	protein_coding	-1.46574546091244	4.62424613642083e-05
ENST00000329251.5	ENSG00000254772	EEF1G	protein_coding	-0.36791772631702	4.63484955154185e-05
ENST00000255304.9	ENSG00000132952	USPL1	protein_coding	-0.484645328255467	4.65295462377286e-05
ENST00000561605.1	ENSG00000153815	CMIP	retained_intron	-2.05163937798912	4.67768083120127e-05
ENST00000613204.1	ENSG00000278817		protein_coding	1.12194797346801	4.683815514843e-05
ENST00000568808.5	ENSG00000260916	CCPG1	nonsense_mediated_decay	1.09690499876584	4.68445487508047e-05
ENST00000702580.1	ENSG00000290033		lncRNA	1.12429467259033	4.68626489012865e-05
ENST00000334444.11	ENSG00000114770	ABCC5	protein_coding	-0.76914480264042	4.71443537797814e-05
ENST00000270460.11	ENSG00000063245	EPN1	protein_coding	0.61802743294248	4.73632557759588e-05
ENST00000397060.8	ENSG00000124564	SLC17A3	protein_coding	1.2487700698836	4.74925319267614e-05
ENST00000648839.1	ENSG00000161970	RPL26	protein_coding	-0.351634934803133	4.78069573023254e-05
ENST00000325083.13	ENSG00000078674	PCM1	protein_coding	0.59213763887929	4.79445288699634e-05
ENST00000522565.5	ENSG00000153140	CETN3	protein_coding	-0.675167796550681	4.79846344076717e-05
ENST00000358161.9	ENSG00000197694	SPTAN1	protein_coding	-0.793548655288051	4.79846344076717e-05
MSTRG.767.1	NA	NA	NA	0.746563117347718	4.80013254271351e-05
ENST00000415472.6	ENSG00000106344	RBM28	protein_coding	-0.764192463768387	4.80033374550358e-05
ENST00000333039.4	ENSG00000221890	NPTXR	protein_coding	-0.628530774183027	4.80318328201291e-05
ENST00000649529.1	ENSG00000187608	ISG15	protein_coding	-1.19585839655932	4.80318328201291e-05
ENST00000436427.1	ENSG00000065978	YBX1	protein_coding	-0.316503957775072	4.82772148815407e-05
ENST00000589913.6	ENSG00000131469	RPL27	protein_coding	-0.461715272099762	4.84028309506875e-05
ENST00000360497.4	ENSG00000137672	TRPC6	protein_coding	4.87697856563145	4.84951171653979e-05
ENST00000529664.1	ENSG00000166387	PPFIBP2	retained_intron	1.22477133807739	4.85522312504358e-05
ENST00000285407.11	ENSG00000155090	KLF10	protein_coding	0.326525711549541	4.89649228283391e-05
MSTRG.29345.1	NA	NA	NA	-0.442204457152132	4.92858256305801e-05
ENST00000507392.5	ENSG00000145833	DDX46	nonsense_mediated_decay	-0.651161877958546	4.93059390118142e-05
MSTRG.17423.2	NA	NA	NA	-0.550516945568366	4.94029707899315e-05
MSTRG.14645.2	NA	NA	NA	0.579304867290208	4.95726373544856e-05
ENST00000674370.2	ENSG00000152133	GPATCH11	protein_coding	-0.451161848608371	4.96770480773952e-05
ENST00000633556.3	ENSG00000112297	CRYBG1	protein_coding	-1.63764234117259	4.99823206131216e-05
ENST00000265295.9	ENSG00000040275	SPDL1	protein_coding	-0.48162870092886	5.01202016673437e-05
ENST00000407610.8	ENSG00000131732	ZCCHC9	protein_coding	-0.996617586792907	5.065603380098e-05
ENST00000648050.1	ENSG00000285517		lncRNA	-0.744634231305258	5.07385173692211e-05
ENST00000682017.1	ENSG00000088387	DOCK9	protein_coding	-0.965557879555405	5.09870954546471e-05
ENST00000598418.6	ENSG00000161677	JOSD2	protein_coding	-0.668738369020547	5.12357957102478e-05
ENST00000419968.6	ENSG00000147274	RBMX	protein_coding	-0.575329658063186	5.13002069924959e-05
MSTRG.27245.5	NA	NA	NA	0.877249040393105	5.13002069924959e-05
ENST00000557049.1	ENSG00000176153	GPX2	protein_coding	2.37697434115526	5.13972747351695e-05
ENST00000607373.6	ENSG00000140299	BNIP2	protein_coding	-0.494586707410896	5.1485397878338e-05
ENST00000413817.8	ENSG00000205593	DENND6B	protein_coding	1.1204250933538	5.15531001184337e-05
ENST00000321276.8	ENSG00000163082	SGPP2	protein_coding	2.97294039811402	5.18053889637814e-05
ENST00000567214.5	ENSG00000125170	DOK4	protein_coding	1.00070149265239	5.18053889637814e-05
MSTRG.6341.15	NA	NA	NA	-0.546642875693979	5.18620636996672e-05
MSTRG.21086.14	NA	NA	NA	0.695575277305922	5.18973491080895e-05
ENST00000254351.9	ENSG00000115884	SDC1	protein_coding	-0.443171716827658	5.19279388231813e-05
MSTRG.18843.21	NA	NA	NA	-0.776659812533874	5.20348119157816e-05
ENST00000296181.9	ENSG00000082781	ITGB5	protein_coding	0.431234960415931	5.23359244921528e-05
ENST00000357166.11	ENSG00000188706	ZDHHC9	protein_coding	0.381871800963664	5.24714225224162e-05
MSTRG.27256.47	NA	NA	NA	0.780939771810832	5.26951958931829e-05
ENST00000347454.9	ENSG00000115211	EIF2B4	protein_coding	-0.501763232155718	5.27091848758518e-05
ENST00000315366.8	ENSG00000180801	ARSJ	protein_coding	-0.781221845473938	5.34178636236466e-05
ENST00000397625.9	ENSG00000070495	JMJD6	protein_coding	-0.459990953283429	5.34282808905457e-05
ENST00000551992.5	ENSG00000187109	NAP1L1	protein_coding	-1.15945795586953	5.36388750444594e-05
MSTRG.29735.5	NA	NA	NA	-0.667124669242836	5.3837013619806e-05
ENST00000544604.7	ENSG00000183579	ZNRF3	protein_coding	0.415238988555548	5.38406859203682e-05
ENST00000620176.4	ENSG00000275779	NTAN1	protein_coding	-0.517443109528608	5.38406859203682e-05
ENST00000262990.9	ENSG00000109445	ZNF330	protein_coding	-0.457787527089557	5.41656707348137e-05
ENST00000262719.10	ENSG00000081913	PHLPP1	protein_coding	-0.440067412070816	5.44905533048288e-05
ENST00000380554.5	ENSG00000196139	AKR1C3	protein_coding	0.732642079071344	5.45341979244302e-05
ENST00000317216.3	ENSG00000179388	EGR3	protein_coding	2.60102241439921	5.45519797352405e-05
ENST00000392531.4	ENSG00000213145	CRIP1	protein_coding	-0.497485795559637	5.47854724594714e-05
ENST00000683442.1	ENSG00000180198	RCC1	protein_coding	-0.662204759580558	5.47854724594714e-05
ENST00000558170.6	ENSG00000169554	ZEB2	protein_coding	-4.40898865064894	5.49645844641605e-05
MSTRG.21086.4	NA	NA	NA	0.609126541422238	5.50434261703035e-05
ENST00000351270.4	ENSG00000148702	HABP2	protein_coding	3.70537388215364	5.51079318161973e-05
ENST00000393079.3	ENSG00000168917	SLC35G2	protein_coding	-0.693591340743694	5.51079318161973e-05
MSTRG.18807.1	NA	NA	NA	-0.413658326100558	5.51582734250189e-05
ENST00000373044.3	ENSG00000196449	YRDC	protein_coding	0.462976406013946	5.54059768361511e-05
ENST00000294172.7	ENSG00000162231	NXF1	protein_coding	-0.417830340889879	5.56498409640236e-05
ENST00000493278.1	ENSG00000128595	CALU	protein_coding	-0.514858499484438	5.57060951245865e-05
ENST00000264343.4	ENSG00000138639	ARHGAP24	protein_coding	1.55552843118348	5.58871369948803e-05
ENST00000375147.8	ENSG00000136937	NCBP1	protein_coding	-0.334809020754746	5.62969713672612e-05
ENST00000467853.5	ENSG00000163636	PSMD6	retained_intron	1.09207560352267	5.62969713672612e-05
ENST00000486860.5	ENSG00000075142	SRI	retained_intron	-0.67522383257076	5.62969713672612e-05
ENST00000464685.1	ENSG00000158411	MITD1	retained_intron	-1.29938629029519	5.65046738298664e-05
ENST00000557265.6	ENSG00000129515	SNX6	protein_coding	-1.09437284267728	5.65184584377565e-05
MSTRG.2115.4	NA	NA	NA	0.647230989408902	5.65184584377565e-05
ENST00000503393.8	ENSG00000087266	SH3BP2	protein_coding	0.521281149484195	5.6579233353877e-05
ENST00000320580.9	ENSG00000175115	PACS1	protein_coding	-0.395152923346651	5.66778794793759e-05
ENST00000400889.3	ENSG00000215784	FAM72D	protein_coding	-0.457591155300635	5.69519413766852e-05
ENST00000475789.1	ENSG00000164647	STEAP1	retained_intron	1.16209652638653	5.70583817670005e-05
ENST00000645023.1	ENSG00000245532	NEAT1	lncRNA	1.09414045089218	5.7224990465108e-05
ENST00000481424.5	ENSG00000197037	ZSCAN25	retained_intron	1.51075132383652	5.73230548294176e-05
MSTRG.4497.21	NA	NA	NA	-1.44709482189042	5.75729573608983e-05
ENST00000480697.6	ENSG00000196139	AKR1C3	retained_intron	0.926485485207682	5.76654920081008e-05
ENST00000238379.9	ENSG00000119431	HDHD3	protein_coding	0.705098731567998	5.76654920081008e-05
ENST00000699377.1	ENSG00000145349	CAMK2D	nonsense_mediated_decay	1.91367628947691	5.78293588627992e-05
ENST00000651323.1	ENSG00000178971	CTC1	protein_coding	0.51774298943321	5.79451480131453e-05
ENST00000229922.7	ENSG00000112186	CAP2	protein_coding	-0.444387870687131	5.81042533689146e-05
ENST00000398637.10	ENSG00000111371	SLC38A1	protein_coding	0.342902670756808	5.81329220314815e-05
ENST00000523967.5	ENSG00000151914	DST	retained_intron	1.75837564443162	5.82191790568507e-05
ENST00000605930.3	ENSG00000096433	ITPR3	protein_coding	-0.541732710469121	5.8338846685126e-05
ENST00000664922.3	ENSG00000234171	RNASEH1-DT	lncRNA	-0.756972895547856	5.84190513641851e-05
MSTRG.62.9	NA	NA	NA	-1.77186049862318	5.8553763991199e-05
ENST00000360982.2	ENSG00000061676	NCKAP1	protein_coding	-0.344851977862637	5.86003782607872e-05
ENST00000562017.1	ENSG00000125148	MT2A	retained_intron	-1.0324290614659	5.86645084830986e-05
MSTRG.21936.4	NA	NA	NA	0.740095011162831	5.86780094638038e-05
ENST00000318950.11	ENSG00000133789	SWAP70	protein_coding	-0.464187497102717	5.87433848415332e-05
ENST00000238961.9	ENSG00000119906	SLF2	protein_coding	-0.590098098066632	5.88012188629036e-05
MSTRG.4238.6	NA	NA	NA	0.960324208081143	5.88012188629036e-05
MSTRG.25268.1	NA	NA	NA	3.06645317229111	5.88593638954289e-05
ENST00000693714.1	ENSG00000136861	CDK5RAP2	retained_intron	0.660742197652031	5.89882966537725e-05
ENST00000624624.1	ENSG00000279117		TEC	4.95014242257809	5.91740332571127e-05
ENST00000496110.1	ENSG00000186205	MTARC1	protein_coding_CDS_not_defined	1.11912522424832	5.94873026733663e-05
ENST00000231461.10	ENSG00000113532	ST8SIA4	protein_coding	1.47367598995928	5.95552172167866e-05
ENST00000312841.9	ENSG00000168453	HR	protein_coding	1.04777812464436	5.95552172167866e-05
ENST00000393405.6	ENSG00000002919	SNX11	protein_coding	0.791678077805632	5.95552172167866e-05
ENST00000418654.2	ENSG00000157985	AGAP1	protein_coding	-0.687012971924893	5.95552172167866e-05
ENST00000452142.7	ENSG00000110934	BIN2	protein_coding	4.01759125186521	5.96307611792618e-05
ENST00000497699.1	ENSG00000095739	BAMBI	retained_intron	1.23689012271849	5.96307611792618e-05
ENST00000512312.5	ENSG00000138696	BMPR1B	protein_coding	4.37407404940042	5.96307611792618e-05
MSTRG.4244.2	NA	NA	NA	0.92859844030368	5.96307611792618e-05
MSTRG.25456.8	NA	NA	NA	1.11718301764436	5.96670868587395e-05
ENST00000514265.1	ENSG00000248187		lncRNA	-2.22729251164829	5.99721457729741e-05
ENST00000394641.7	ENSG00000075142	SRI	protein_coding	-0.936469671242492	6.01744967077189e-05
ENST00000381237.6	ENSG00000104635	SLC39A14	protein_coding	-0.317363041816398	6.02392548071104e-05
ENST00000398571.7	ENSG00000115464	USP34	protein_coding	-0.32425510739472	6.02576776904885e-05
ENST00000285873.8	ENSG00000082516	GEMIN5	protein_coding	-0.495929883506654	6.02595963432879e-05
ENST00000276201.7	ENSG00000125351	UPF3B	protein_coding	1.39873501939433	6.15496577072693e-05
ENST00000361574.10	ENSG00000198858	R3HDM4	protein_coding	0.466463155628772	6.1560903777365e-05
ENST00000581241.5	ENSG00000141551	CSNK1D	retained_intron	0.430026496654999	6.15674792328342e-05
ENST00000589367.5	ENSG00000073536	NLE1	nonsense_mediated_decay	-0.973729726379638	6.18188356872627e-05
ENST00000682242.1	ENSG00000188243	COMMD6	protein_coding	-5.91052727479752	6.19813659020943e-05
ENST00000445478.6	ENSG00000070495	JMJD6	protein_coding	-0.83928556050531	6.22562611287806e-05
ENST00000226067.10	ENSG00000108924	HLF	protein_coding	1.6029307116487	6.25135750618326e-05
ENST00000437154.6	ENSG00000042980	ADAM28	protein_coding	3.27645779262317	6.26380865790214e-05
ENST00000357388.8	ENSG00000113810	SMC4	protein_coding	-0.362307056558694	6.26380865790214e-05
ENST00000356083.8	ENSG00000196739	COL27A1	protein_coding	-0.548635681546069	6.26503322336885e-05
ENST00000289371.11	ENSG00000158417	EIF5B	protein_coding	-0.599666979815042	6.27949419694873e-05
ENST00000296464.9	ENSG00000164070	HSPA4L	protein_coding	-0.474304557850626	6.28360701128855e-05
ENST00000617731.2	ENSG00000278229	RPS17	protein_coding	-0.506512345802208	6.37070283277204e-05
MSTRG.14506.10	NA	NA	NA	-0.839786769773656	6.4151407642468e-05
ENST00000320785.10	ENSG00000129250	KIF1C	protein_coding	0.503716442211699	6.433326728671e-05
ENST00000547191.5	ENSG00000089157	RPLP0	protein_coding	0.959069475038341	6.44739906287406e-05
MSTRG.15834.13	NA	NA	NA	-0.86936149336083	6.48503571404385e-05
ENST00000350878.9	ENSG00000071054	MAP4K4	protein_coding	-0.76189529051903	6.49088168131121e-05
MSTRG.29638.4	NA	NA	NA	-0.738661546636355	6.49360570153544e-05
ENST00000329420.12	ENSG00000167645	YIF1B	protein_coding	-0.586735862898048	6.51056970285825e-05
ENST00000232375.8	ENSG00000114268	PFKFB4	protein_coding	-0.828435996577623	6.54787169965853e-05
ENST00000424989.3	ENSG00000233621	ZC3H12A-DT	lncRNA	-0.71438481880901	6.54787169965853e-05
MSTRG.1029.8	NA	NA	NA	1.2135044567593	6.55024108494885e-05
ENST00000487078.5	ENSG00000084693	AGBL5	nonsense_mediated_decay	-0.893238856220899	6.58198187614666e-05
